frame_id,time_sec,track_id,class_name,confidence,x1,y1,x2,y2
5,0.10,2,car,0.895620,976.01,471.86,1036.48,532.19
5,0.10,3,car,0.847739,1192.16,588.77,1259.49,656.06
5,0.10,4,car,0.923280,1064.60,588.63,1133.60,658.40
5,0.10,5,car,0.830910,1482.29,1037.51,1549.38,1080.00
5,0.10,6,car,0.808734,909.20,285.61,952.83,322.87
5,0.10,7,car,0.839654,988.46,359.90,1038.68,405.20
5,0.10,8,car,0.812649,836.90,208.08,878.46,243.80
5,0.10,9,truck,0.686301,1419.69,542.36,1506.36,673.38
5,0.10,10,car,0.802380,1464.97,335.92,1525.24,376.05
5,0.10,11,car,0.585692,786.66,201.90,828.36,245.13
5,0.10,12,car,0.560617,1242.83,154.22,1297.16,190.16
5,0.10,13,car,0.393584,1101.18,166.02,1140.39,190.07
6,0.12,1,car,0.911468,1340.08,966.94,1431.89,1062.50
6,0.12,2,car,0.906644,977.19,473.12,1037.64,533.44
6,0.12,3,car,0.908467,1190.23,586.79,1257.44,653.94
6,0.12,4,car,0.896058,1065.94,590.20,1134.77,659.83
6,0.12,5,car,0.811376,1487.06,1042.08,1547.72,1080.00
6,0.12,6,car,0.776039,907.54,283.53,952.24,321.64
6,0.12,7,car,0.824966,987.33,358.80,1037.67,404.19
6,0.12,8,car,0.813812,835.97,206.87,877.57,242.80
6,0.12,9,truck,0.677142,1420.15,541.49,1507.16,672.57
6,0.12,10,car,0.800154,1465.07,335.83,1525.40,376.02
6,0.12,11,car,0.578147,786.64,201.88,828.36,245.13
6,0.12,12,car,0.565103,1242.79,154.17,1297.28,190.20
6,0.12,13,car,0.418599,1101.11,166.04,1140.37,190.05
7,0.14,1,car,0.912333,1340.72,967.67,1432.64,1063.29
7,0.14,2,car,0.918424,977.80,473.92,1038.77,534.83
7,0.14,3,car,0.888924,1188.47,584.80,1255.72,651.99
7,0.14,4,car,0.884830,1067.22,591.62,1136.04,661.28
7,0.14,5,car,0.748180,1491.19,1046.49,1545.75,1080.00
